site1,site2,comm_sim,site_dis,group
T23,T08,0.250469153,1063093.494,T
T23,T09,0.246461803,990612.4094,T
T23,T10,0.262256627,1123010.739,T
T23,T11,0.270603644,1162425.318,T
T23,T12,0.222124482,1390683.008,T
T23,T13,0.224098835,1410156.464,T
T23,T15,0.159472985,1632305.895,T
T23,T18,0.150774103,2245307.765,T
T23,T19,0.205430448,2438742.326,T
T23,T20,0.231996247,2580636.438,T
T23,T21,0.243510048,2631004.555,T
T23,T22,0.310774885,161211.7568,T
T24,T01,0.177203065,1360716.059,T
T24,T02,0.212213621,1413948.926,T
T24,T04,0.149757604,1403655.236,T
T24,T05,0.160489483,1395427.254,T
T24,T06,0.183575729,1260674.094,T
T24,T07,0.204277113,1303559.349,T
T24,T08,0.208362655,1218600.57,T
T24,T09,0.202224568,1144857.42,T
T24,T10,0.222965048,1274350.88,T
T24,T11,0.219720072,1316651.417,T
T24,T12,0.184396747,1544378.679,T
T24,T13,0.177105325,1559511.835,T
T24,T15,0.143267652,1786666.004,T
T24,T18,0.146942685,2399096.793,T
T24,T19,0.166803503,2593517.714,T
T24,T20,0.17976386,2734645.354,T
T24,T21,0.204042537,2785923.828,T
T24,T22,0.352588162,309229.2155,T
T24,T23,0.327918524,155508.0245,T
T25,T01,0.129095316,1480529.034,T
T25,T02,0.134158261,1529613.333,T
T25,T04,0.11062241,1514103.865,T
T25,T05,0.120728751,1503371.88,T
T25,T06,0.125811244,1368863.829,T
T25,T07,0.142446634,1402681.57,T
T25,T08,0.123269998,1317743.658,T
T25,T09,0.137266401,1233591.554,T
T25,T10,0.149073422,1352558.528,T
T25,T11,0.151868793,1404628.043,T
T25,T12,0.128137462,1629363.716,T
T25,T13,0.129271249,1631382.408,T
T25,T15,0.113144108,1874087.846,T
T25,T18,0.101943076,2482934.194,T
T25,T19,0.127922433,2682232.219,T
T25,T20,0.117659708,2819118.741,T
T25,T21,0.152768004,2875447.425,T
T25,T22,0.223121432,429437.2974,T
T25,T23,0.220423802,268540.1863,T
T25,T24,0.222632731,134297.2221,T
T26,T01,0.324634451,1469349.032,T
T26,T02,0.246305419,1507054.386,T
T26,T04,0.230569239,1479511.748,T
T26,T05,0.307686293,1463500.577,T
T26,T06,0.237156932,1331000.573,T
T26,T07,0.25551255,1346715.483,T
T26,T08,0.172687466,1262872.992,T
T26,T09,0.270779576,1162257.925,T
T26,T10,0.260243178,1263927.937,T
T26,T11,0.254691532,1329866.695,T
T26,T12,0.26051685,1547832.013,T
T26,T13,0.306396122,1531549.422,T
T26,T15,0.123054969,1794506.352,T
T26,T18,0.120924232,2395131.637,T
T26,T19,0.343263742,2601119.887,T
T26,T20,0.293064352,2731210.638,T
T26,T21,0.273320823,2795042.198,T
T26,T22,0.154195011,454267.077,T
T26,T23,0.19899914,307762.2008,T
T26,T24,0.156560325,253747.2227,T
T26,T25,0.114492924,176528.1504,T
T27,T01,0.158261006,1571444.204,T
T27,T02,0.158671515,1601056.698,T
T27,T04,0.135487528,1564970.112,T
T27,T05,0.143951834,1545075.975,T
T27,T06,0.161232309,1415465.694,T
T27,T07,0.181796857,1416537.189,T
T27,T08,0.142427086,1334643.347,T
T27,T09,0.174427242,1221169.13,T
T27,T10,0.188384549,1304683.301,T
T27,T11,0.192861052,1383242.249,T
T27,T12,0.165356947,1592349.165,T
T27,T13,0.161486434,1557339.459,T
T27,T15,0.135800297,1838867.456,T
T27,T18,0.127609665,2428003.193,T
T27,T19,0.152768004,2639865.398,T
T27,T20,0.143658613,2762711.014,T
T27,T21,0.189616076,2833822.118,T
T27,T22,0.272851669,593451.3011,T
T27,T23,0.244233326,457694.797,T
T27,T24,0.316971616,410286.3233,T
T27,T25,0.265579795,315567.1411,T
T27,T26,0.137188209,157558.4242,T
T28,T01,0.20922277,985227.9592,T
T28,T02,0.285557901,1004361.367,T
T28,T04,0.174622723,962001.4336,T
T28,T05,0.185784659,940525.5587,T
T28,T06,0.217178826,812489.3236,T
T28,T07,0.239307217,811606.5411,T
T28,T08,0.260810071,729270.0997,T
T28,T09,0.239033544,621536.8033,T
T28,T10,0.258679334,726460.6456,T
T28,T11,0.262237079,788687.6808,T
T28,T12,0.209672375,1007800.171,T
T28,T13,0.21242865,1003241.603,T
T28,T15,0.152728908,1254174.88,T
T28,T18,0.157772304,1858280.51,T
T28,T19,0.199976542,2061630.838,T
T28,T20,0.224998045,2194567.605,T
T28,T21,0.235182579,2255412.077,T
T28,T22,0.348365783,357711.5438,T
T28,T23,0.437035734,423460.6176,T
T28,T24,0.359312691,562969.8566,T
T28,T25,0.267456408,628147.0193,T
T28,T26,0.198979592,541179.0959,T
T28,T27,0.262882164,605539.1035,T
T29,T01,0.16893424,1135840.282,T
T29,T02,0.211900852,1157363.433,T
T29,T04,0.144069122,1115930.845,T
T29,T05,0.151028227,1094448.99,T
