"","x"
"1",0.0837802691684411
"2",0.0839062882211341
"3",0.0810263444769442
"4",0.0811462100230517
"5",0.0812688880749502
"6",0.0807261136868677
"7",0.0808483449301242
"8",0.080971136593859
"9",0.0787139261978308
"10",0.0760239297029283
"11",0.0744621381312801
"12",0.0742242730565085
"13",0.0740596980504477
"14",0.0741733093694174
"15",0.0742873574179548
"16",0.074401752896557
"17",0.0744650395819785
"18",0.0745800383175576
"19",0.0746954069354849
"20",0.0742462719676888
"21",0.0743614907928493
"22",0.0743956538342745
"23",0.074510707985982
"24",0.0746268686620636
"25",0.0747433880973615
"26",0.0722651623719229
"27",0.0707356311233407
"28",0.0708467159220089
"29",0.0707131696263016
"30",0.0707975044189961
"31",0.0709092094966887
"32",0.0710212635131414
"33",0.070628956955394
"34",0.0699171203418535
"35",0.0700281653081207
"36",0.0701395592616619
"37",0.0702510245359416
"38",0.0693149723205715
"39",0.0694257841765227
"40",0.0694440191110677
"41",0.0670107041345414
"42",0.0667981335515312
"43",0.0669056418362647
"44",0.0668648260943965
"45",0.0669728413657662
"46",0.06555856396512
"47",0.0640036340949592
"48",0.0641076364956862
"49",0.0639560784463321
"50",0.0640600974185882
"51",0.0641646981016712
"52",0.0639033909909246
"53",0.0640033213447484
"54",0.063934274192698
"55",0.0627582694414506
"56",0.0612745659718992
"57",0.0613757175749995
"58",0.0608888380254551
"59",0.0609665484188112
"60",0.0596560988368254
"61",0.059167700469483
"62",0.0592662747466571
"63",0.0593234946572722
"64",0.0593853886796359
"65",0.0576956755477029
"66",0.0577924996148421
"67",0.0565689334730405
"68",0.0566642442527417
"69",0.0552268996126091
"70",0.0541117651203017
"71",0.0536056705520498
"72",0.0534324433493246
"73",0.0535174430430875
"74",0.0536079471926801
"75",0.0532720104695902
"76",0.053363057629345
"77",0.052757991788331
"78",0.0528485862381886
"79",0.0529394871881159
"80",0.0530306960306162
"81",0.0530008303761794
"82",0.0516436293427809
"83",0.0517331099458603
"84",0.0501782792285762
"85",0.0495508761086037
"86",0.0478190213839873
"87",0.0473378652129307
"88",0.0463558367662108
"89",0.0461903161027265
"90",0.0462716095901918
"91",0.0463435607488933
"92",0.0463697526154967
"93",0.0464518266561164
"94",0.0462551851443583
"95",0.0463373535284526
"96",0.0464198087076306
"97",0.0465013782786249
"98",0.0452981689696425
"99",0.0453746841703128
"100",0.0454486534997509
"101",0.0455299290742324
"102",0.044262256685912
"103",0.044205320119211
"104",0.0442824730064728
"105",0.0443626835898428
"106",0.0437790455354503
"107",0.0434649570473761
"108",0.0435439637372067
"109",0.0436234394984891
"110",0.0436630221460505
"111",0.0437429888282201
"112",0.043822294866097
"113",0.041982324892974
"114",0.0410852847263018
"115",0.0388670895479858
"116",0.0389174814211869
"117",0.0389870218418731
"118",0.03905971477022
"119",0.0391326727727945
"120",0.0392058974393194
"121",0.0392793901479658
"122",0.0393531523613674
"123",0.0394271838469338
"124",0.0395014894972854
"125",0.0395760691044087
"126",0.0396509241739936
"127",0.0397260562227432
"128",0.0398014667784678
"129",0.039090148835112
"130",0.0388774256168918
"131",0.0378965101077258
"132",0.037955380837783
"133",0.0379690781843678
"134",0.0379692658073232
"135",0.0372979917758165
"136",0.0373700820186951
"137",0.0374417170525902
"138",0.0363441599792666
"139",0.0352492606005425
"140",0.0353076777446747
"141",0.0353767690126585
"142",0.0354446172635289
"143",0.0355142360475027
"144",0.0333292647852477
"145",0.0333950849575215
"146",0.0334612675360386
"147",0.0335226317043555
"148",0.0335893166637509
"149",0.0336494700274005
"150",0.0337047358519746
"151",0.0337720317614203
"152",0.033727865757001
"153",0.0321816595342042
"154",0.0322465898607926
"155",0.0323006470560419
"156",0.0300033417092599
"157",0.0300644691395238
"158",0.0289317806650001
"159",0.0285958305203817
"160",0.0282889591158204
"161",0.0280945891217029
"162",0.0275737626779085
"163",0.0276305933225552
"164",0.0267305070853367
"165",0.0253409900291234
"166",0.025177298660767
"167",0.0237315344662763
"168",0.0237452693371914
"169",0.0237855543333534
"170",0.0237854913289799
"171",0.0238272374795642
"172",0.02377951370826
"173",0.0237406628325033
"174",0.0237881865662611
"175",0.0231426019433648
"176",0.0231925522442028
"177",0.0232425624114517
"178",0.023112751613602
"179",0.0231629650024818
"180",0.0232133874371582
