source,target,weight,correlation,cor
Zotu3431,Zotu117,0.802557767596442,0.802557767596442,1
Zotu85961,Zotu88268,0.861437901974146,0.861437901974146,1
Zotu85961,Zotu79103,0.804205101203371,0.804205101203371,1
Zotu85961,Zotu3215,0.825609415030477,0.825609415030477,1
Zotu85961,Zotu3728,0.801701683704671,0.801701683704671,1
Zotu85961,Zotu66516,0.871295557866901,0.871295557866901,1
Zotu85961,Zotu80241,0.850597995969646,0.850597995969646,1
Zotu85961,Zotu70163,0.807237890279416,0.807237890279416,1
Zotu85961,Zotu1490,0.831357589928261,0.831357589928261,1
Zotu85961,Zotu2613,0.833908732554814,0.833908732554814,1
Zotu85961,Zotu43215,0.825487987702198,0.825487987702198,1
Zotu85961,Zotu1676,0.816698859505539,0.816698859505539,1
Zotu85961,Zotu2204,0.807507759920068,0.807507759920068,1
Zotu85961,Zotu2519,0.814793465716896,0.814793465716896,1
Zotu85961,Zotu816,0.839674066167409,0.839674066167409,1
Zotu85961,Zotu40,0.810483116509061,0.810483116509061,1
Zotu85961,Zotu503,0.836980554133,0.836980554133,1
Zotu85961,Zotu82,0.807659546127214,0.807659546127214,1
Zotu85961,Zotu2,0.866841557789113,0.866841557789113,1
Zotu4354,Zotu564,0.821720333985324,0.821720333985324,1
Zotu4354,Zotu5344,0.809593400433515,0.809593400433515,1
Zotu4354,Zotu6091,0.812372029060102,0.812372029060102,1
Zotu4354,Zotu1516,0.80844317253233,0.80844317253233,1
Zotu4354,Zotu1269,0.819945704946886,0.819945704946886,1
Zotu4354,Zotu1490,0.825473374848249,0.825473374848249,1
Zotu4354,Zotu3429,0.807069916332532,0.807069916332532,1
Zotu4354,Zotu898,0.848895117402802,0.848895117402802,1
Zotu4354,Zotu1381,0.859816545842329,0.859816545842329,1
Zotu4354,Zotu1110,0.833122351407333,0.833122351407333,1
Zotu4354,Zotu1242,0.812936047917549,0.812936047917549,1
Zotu4354,Zotu289,0.807647089830674,0.807647089830674,1
Zotu4354,Zotu445,0.833829694452474,0.833829694452474,1
Zotu4354,Zotu50,0.817620073904953,0.817620073904953,1
Zotu4354,Zotu30,0.805711811992277,0.805711811992277,1
Zotu4354,Zotu19,0.802241182065571,0.802241182065571,1
Zotu2837,Zotu1550,0.841283653594218,0.841283653594218,1
Zotu2837,Zotu249,0.800848468941945,0.800848468941945,1
Zotu2837,Zotu569,0.816896948057902,0.816896948057902,1
Zotu2837,Zotu1490,0.82133735860572,0.82133735860572,1
Zotu2837,Zotu2613,0.803192970722683,0.803192970722683,1
Zotu2837,Zotu1676,0.8005356763542,0.8005356763542,1
Zotu2837,Zotu2519,0.809073353325036,0.809073353325036,1
Zotu2837,Zotu248,0.803816893863908,0.803816893863908,1
Zotu3020,Zotu1253,0.823091824350464,0.823091824350464,1
Zotu3020,Zotu904,0.808301558042565,0.808301558042565,1
Zotu3020,Zotu421,0.845821222162379,0.845821222162379,1
Zotu6427,Zotu3391,0.807216924920405,0.807216924920405,1
Zotu6865,Zotu6668,0.815594208481148,0.815594208481148,1
Zotu6865,Zotu6091,0.854389784056784,0.854389784056784,1
Zotu6865,Zotu2151,0.830761097329422,0.830761097329422,1
Zotu6865,Zotu3728,0.80032025848866,0.80032025848866,1
Zotu6865,Zotu793,0.861403572441108,0.861403572441108,1
Zotu6865,Zotu70163,0.813145137008518,0.813145137008518,1
Zotu6865,Zotu569,0.805874826713149,0.805874826713149,1
Zotu6865,Zotu1490,0.831527441598282,0.831527441598282,1
Zotu6865,Zotu2914,0.834760322555435,0.834760322555435,1
Zotu6865,Zotu1105,0.802201029449836,0.802201029449836,1
Zotu6865,Zotu898,0.841280946871476,0.841280946871476,1
Zotu6865,Zotu2613,0.853427753827279,0.853427753827279,1
Zotu6865,Zotu1110,0.862554107600367,0.862554107600367,1
Zotu6865,Zotu1598,0.824782067535817,0.824782067535817,1
Zotu6865,Zotu1689,0.863031933394748,0.863031933394748,1
Zotu6865,Zotu1676,0.846810663040183,0.846810663040183,1
Zotu6865,Zotu827,0.803064631754989,0.803064631754989,1
Zotu6865,Zotu979,0.810606802780078,0.810606802780078,1
Zotu6865,Zotu807,0.810369079828442,0.810369079828442,1
Zotu6865,Zotu528,0.808957861118389,0.808957861118389,1
Zotu6865,Zotu509,0.808922837706081,0.808922837706081,1
Zotu6865,Zotu986,0.835991330701791,0.835991330701791,1
Zotu6865,Zotu715,0.866730121774428,0.866730121774428,1
Zotu6865,Zotu40,0.814219693889831,0.814219693889831,1
Zotu6865,Zotu357,0.805012672934658,0.805012672934658,1
Zotu6865,Zotu248,0.899075698497581,0.899075698497581,1
Zotu6865,Zotu134,0.817467416879606,0.817467416879606,1
Zotu6865,Zotu67,0.822815625575648,0.822815625575648,1
Zotu6865,Zotu60,0.805113804254349,0.805113804254349,1
Zotu6865,Zotu2,0.804839944862508,0.804839944862508,1
Zotu1133,Zotu763,0.844789521122227,0.844789521122227,1
Zotu1133,Zotu348,0.826546753089563,0.826546753089563,1
Zotu1133,Zotu240,0.806534715428796,0.806534715428796,1
Zotu1133,Zotu289,0.809492933077714,0.809492933077714,1
Zotu5247,Zotu1261,0.814544498254601,0.814544498254601,1
Zotu5247,Zotu251,0.816484366480127,0.816484366480127,1
Zotu2725,Zotu409,0.807545802220979,0.807545802220979,1
Zotu2725,Zotu3192,0.80490868971338,0.80490868971338,1
Zotu2725,Zotu50,0.833490259309049,0.833490259309049,1
Zotu2451,Zotu338,0.804884956296326,0.804884956296326,1
Zotu2157,Zotu181,0.804411231708857,0.804411231708857,1
Zotu2157,Zotu87,0.801167519264123,0.801167519264123,1
Zotu3351,Zotu249,0.83721166366712,0.83721166366712,1
Zotu3351,Zotu989,0.801711038826688,0.801711038826688,1
Zotu3351,Zotu1472,0.864509943551509,0.864509943551509,1
Zotu3351,Zotu1110,0.814923855090198,0.814923855090198,1
Zotu3351,Zotu50,0.801988378887261,0.801988378887261,1
Zotu3351,Zotu60,0.818529673608615,0.818529673608615,1
Zotu2896,Zotu522,0.819210978033786,0.819210978033786,1
Zotu92501,Zotu83112,0.801502196719623,0.801502196719623,1
Zotu92501,Zotu2519,0.800721043393691,0.800721043393691,1
Zotu2903,Zotu1900,0.816554910600222,0.816554910600222,1
Zotu1671,Zotu701,0.83529561122561,0.83529561122561,1
Zotu1671,Zotu542,0.80226549677267,0.80226549677267,1
Zotu1550,Zotu1916,0.873897964789872,0.873897964789872,1
Zotu1550,Zotu88860,0.812929935361736,0.812929935361736,1
Zotu1550,Zotu6091,0.836276537094582,0.836276537094582,1
Zotu1550,Zotu525,0.81371925154532,0.81371925154532,1
Zotu1550,Zotu4744,0.810094347602018,0.810094347602018,1
Zotu1550,Zotu1756,0.844171765763161,0.844171765763161,1
Zotu1550,Zotu15539,0.874202474595338,0.874202474595338,1
Zotu1550,Zotu1516,0.847780703540254,0.847780703540254,1
Zotu1550,Zotu2193,0.851733679335535,0.851733679335535,1
Zotu1550,Zotu3728,0.881584024978563,0.881584024978563,1
Zotu1550,Zotu1618,0.843404238775854,0.843404238775854,1
Zotu1550,Zotu1738,0.830350962514187,0.830350962514187,1
Zotu1550,Zotu1889,0.846632687003185,0.846632687003185,1
Zotu1550,Zotu1269,0.861586693690751,0.861586693690751,1
Zotu1550,Zotu83112,0.822382492009377,0.822382492009377,1
Zotu1550,Zotu552,0.808142000664866,0.808142000664866,1
Zotu1550,Zotu249,0.878783408172562,0.878783408172562,1
Zotu1550,Zotu793,0.839719434442529,0.839719434442529,1
Zotu1550,Zotu70163,0.852280405683283,0.852280405683283,1
Zotu1550,Zotu569,0.810929819436682,0.810929819436682,1
Zotu1550,Zotu3391,0.820243162735102,-0.820243162735102,-1
Zotu1550,Zotu1988,0.808589166009398,0.808589166009398,1
Zotu1550,Zotu3049,0.840886743998707,0.840886743998707,1
Zotu1550,Zotu2179,0.809391747589382,0.809391747589382,1
Zotu1550,Zotu3429,0.804231476880092,0.804231476880092,1
Zotu1550,Zotu1293,0.889382965598826,0.889382965598826,1
Zotu1550,Zotu412,0.820880476828964,0.820880476828964,1
Zotu1550,Zotu1105,0.850473198524327,0.850473198524327,1
Zotu1550,Zotu898,0.804498957495563,0.804498957495563,1
Zotu1550,Zotu1208,0.833733202703429,0.833733202703429,1
Zotu1550,Zotu1306,0.837334651197473,0.837334651197473,1
Zotu1550,Zotu2613,0.835484811063038,0.835484811063038,1
Zotu1550,Zotu1472,0.80201039918398,0.80201039918398,1
Zotu1550,Zotu51254,0.889282136947142,0.889282136947142,1
Zotu1550,Zotu1110,0.807814658801609,0.807814658801609,1
Zotu1550,Zotu1754,0.854927395806092,0.854927395806092,1
Zotu1550,Zotu1242,0.831460834427028,0.831460834427028,1
Zotu1550,Zotu1689,0.816168094641298,0.816168094641298,1
Zotu1550,Zotu43215,0.866924538715654,0.866924538715654,1
Zotu1550,Zotu1676,0.888354046576363,0.888354046576363,1
Zotu1550,Zotu827,0.813528411247337,0.813528411247337,1
Zotu1550,Zotu2204,0.831382645312497,0.831382645312497,1
Zotu1550,Zotu2519,0.859912951227031,0.859912951227031,1
Zotu1550,Zotu1140,0.814247117998259,0.814247117998259,1
Zotu1550,Zotu438,0.897674216899923,0.897674216899923,1
Zotu1550,Zotu718,0.800897624535734,0.800897624535734,1
Zotu1550,Zotu816,0.869822694587293,0.869822694587293,1
Zotu1550,Zotu367,0.825006112198766,0.825006112198766,1
Zotu1550,Zotu729,0.897137568923344,0.897137568923344,1
Zotu1550,Zotu509,0.833491099893129,0.833491099893129,1
Zotu1550,Zotu229,0.835495023854893,0.835495023854893,1
Zotu1550,Zotu40,0.832540419564118,0.832540419564118,1
Zotu1550,Zotu503,0.816659162566531,0.816659162566531,1
Zotu1550,Zotu357,0.812744509556688,0.812744509556688,1
Zotu1550,Zotu432,0.81916815804108,0.81916815804108,1
Zotu1550,Zotu17,0.83608430133989,0.83608430133989,1
Zotu1550,Zotu255,0.811383405916938,0.811383405916938,1
Zotu1550,Zotu158,0.839438087853539,0.839438087853539,1
Zotu1550,Zotu9,0.825744456979617,0.825744456979617,1
Zotu1550,Zotu248,0.846022665191387,0.846022665191387,1
Zotu1550,Zotu144,0.826192955364522,0.826192955364522,1
Zotu1550,Zotu98,0.801824540672636,0.801824540672636,1
Zotu1550,Zotu200,0.878667989503125,0.878667989503125,1
Zotu1550,Zotu30,0.828912934881612,0.828912934881612,1
Zotu1550,Zotu134,0.858825181598602,0.858825181598602,1
Zotu1550,Zotu60,0.863667522828211,0.863667522828211,1
Zotu1550,Zotu19,0.837425017611438,0.837425017611438,1
Zotu1550,Zotu8,0.846183240957075,0.846183240957075,1
Zotu1550,Zotu1,0.828638248883494,0.828638248883494,1
Zotu1550,Zotu2,0.850116595795003,0.850116595795003,1
Zotu1449,Zotu2991,0.826779150661409,0.826779150661409,1
Zotu1449,Zotu338,0.803293256599442,0.803293256599442,1
Zotu1449,Zotu314,0.800323143833154,0.800323143833154,1
Zotu4281,Zotu307,0.806846911276813,0.806846911276813,1
Zotu4867,Zotu1841,0.825631871840704,0.825631871840704,1
Zotu4485,Zotu3982,0.804133600606684,0.804133600606684,1
Zotu1632,Zotu2077,0.806876428526886,0.806876428526886,1
Zotu1632,Zotu720,0.80416281816934,0.80416281816934,1
Zotu3132,Zotu2124,0.817212053728443,0.817212053728443,1
Zotu763,Zotu1263,0.804151666567102,0.804151666567102,1
Zotu763,Zotu462,0.806142073238501,0.806142073238501,1
Zotu763,Zotu240,0.884409740295599,0.884409740295599,1
Zotu763,Zotu289,0.814634873851272,0.814634873851272,1
Zotu763,Zotu485,0.826490559557415,0.826490559557415,1
Zotu763,Zotu27,0.827895250084609,0.827895250084609,1
Zotu2416,Zotu5344,0.828134988572095,0.828134988572095,1
Zotu2416,Zotu6091,0.831569898298547,0.831569898298547,1
Zotu2416,Zotu1756,0.82327415431769,0.82327415431769,1
Zotu2416,Zotu1516,0.85808927820383,0.85808927820383,1
Zotu2416,Zotu2601,0.829788436876934,0.829788436876934,1
Zotu2416,Zotu3192,0.840451622299474,0.840451622299474,1
Zotu2416,Zotu1269,0.855209875059541,0.855209875059541,1
Zotu2416,Zotu249,0.847882951909534,0.847882951909534,1
Zotu2416,Zotu1764,0.819703433963417,0.819703433963417,1
Zotu2416,Zotu1490,0.812373425375295,0.812373425375295,1
Zotu2416,Zotu945,0.800469623044445,0.800469623044445,1
Zotu2416,Zotu1105,0.886095237384065,0.886095237384065,1
Zotu2416,Zotu1226,0.800067646615306,0.800067646615306,1
Zotu2416,Zotu1306,0.839380562180501,0.839380562180501,1
Zotu2416,Zotu989,0.840343018850775,0.840343018850775,1
Zotu2416,Zotu1472,0.81507410743931,0.81507410743931,1
Zotu2416,Zotu1754,0.800429490044214,0.800429490044214,1
Zotu2416,Zotu1242,0.853725489077909,0.853725489077909,1
Zotu2416,Zotu1689,0.810400642096489,0.810400642096489,1
Zotu2416,Zotu1676,0.844454972416851,0.844454972416851,1
Zotu2416,Zotu660,0.802252761795019,0.802252761795019,1
Zotu2416,Zotu438,0.802987038117022,0.802987038117022,1
Zotu2416,Zotu820,0.855792793745665,0.855792793745665,1
Zotu2416,Zotu509,0.838161809918912,0.838161809918912,1
Zotu2416,Zotu229,0.829964025684539,0.829964025684539,1
Zotu2416,Zotu357,0.825416152297362,0.825416152297362,1
Zotu2416,Zotu158,0.842634137690325,0.842634137690325,1
Zotu2416,Zotu248,0.823460683181317,0.823460683181317,1
Zotu2416,Zotu144,0.808776158881645,0.808776158881645,1
Zotu2416,Zotu50,0.824851551056194,0.824851551056194,1
Zotu2416,Zotu30,0.843674171071807,0.843674171071807,1
Zotu2416,Zotu134,0.834891680531712,0.834891680531712,1
Zotu2416,Zotu60,0.841223973623091,0.841223973623091,1
Zotu2416,Zotu46,0.827437773584444,0.827437773584444,1
Zotu2416,Zotu19,0.877224575959428,0.877224575959428,1
Zotu1841,Zotu399,0.80190824449721,0.80190824449721,1
Zotu1841,Zotu151,0.814493549820167,0.814493549820167,1
Zotu60090,Zotu2159,0.808401744246769,0.808401744246769,1
Zotu1512,Zotu1205,0.812516242279705,0.812516242279705,1
Zotu1512,Zotu136,0.842326692137786,0.842326692137786,1
Zotu4899,Zotu3391,0.81929187313803,0.81929187313803,1
Zotu1950,Zotu1619,0.813824171965968,0.813824171965968,1
Zotu3506,Zotu981,0.802592041585746,0.802592041585746,1
Zotu3506,Zotu416,0.812068317454449,0.812068317454449,1
Zotu3506,Zotu98,0.804576154875719,0.804576154875719,1
Zotu2893,Zotu1006,0.850589008116088,0.850589008116088,1
Zotu2893,Zotu85,0.808481999460689,0.808481999460689,1
Zotu616,Zotu289,0.810623185946057,0.810623185946057,1
Zotu616,Zotu52,0.821080644721804,0.821080644721804,1
Zotu2159,Zotu907,0.806667487184364,0.806667487184364,1
Zotu2159,Zotu90,0.854408442847388,0.854408442847388,1
Zotu2159,Zotu14,0.800956918620911,0.800956918620911,1
Zotu1147,Zotu1381,0.809133592696367,0.809133592696367,1
Zotu1147,Zotu30,0.818206323491336,0.818206323491336,1
Zotu848,Zotu579,0.831927206455694,0.831927206455694,1
Zotu88268,Zotu2613,0.825337188084556,0.825337188084556,1
Zotu88268,Zotu816,0.84305553641815,0.84305553641815,1
Zotu88268,Zotu503,0.819543580129818,0.819543580129818,1
Zotu1916,Zotu1208,0.85516013186686,0.85516013186686,1
Zotu1916,Zotu367,0.829092942855974,0.829092942855974,1
Zotu1916,Zotu200,0.822429911563889,0.822429911563889,1
Zotu2752,Zotu131,0.81021424053031,0.81021424053031,1
Zotu5523,Zotu2179,0.803251277452585,0.803251277452585,1
Zotu5523,Zotu1105,0.801150846192277,0.801150846192277,1
Zotu5523,Zotu1754,0.835382867964418,0.835382867964418,1
Zotu5523,Zotu1676,0.805141940087437,0.805141940087437,1
Zotu5523,Zotu229,0.80512360569388,0.80512360569388,1
Zotu5523,Zotu537,0.800584441278653,0.800584441278653,1
Zotu5523,Zotu200,0.811783173978378,0.811783173978378,1
Zotu5523,Zotu60,0.803089606765326,0.803089606765326,1
Zotu5102,Zotu3192,0.813873464609805,0.813873464609805,1
Zotu5102,Zotu1105,0.811309748601955,0.811309748601955,1
Zotu5102,Zotu1110,0.822724341431053,0.822724341431053,1
Zotu5102,Zotu452,0.825668483383221,0.825668483383221,1
Zotu5102,Zotu229,0.80566462681864,0.80566462681864,1
Zotu5102,Zotu158,0.824808713782863,0.824808713782863,1
Zotu5102,Zotu46,0.86195406658662,0.86195406658662,1
Zotu5102,Zotu19,0.806285870516129,0.806285870516129,1
Zotu1828,Zotu399,0.803881711383738,0.803881711383738,1
Zotu1828,Zotu129,0.815722306141325,0.815722306141325,1
Zotu1828,Zotu87,0.804532585248911,0.804532585248911,1
Zotu3232,Zotu22,0.827178375711803,0.827178375711803,1
Zotu5511,Zotu4804,0.805022658057488,0.805022658057488,1
Zotu5511,Zotu249,0.815034945372637,0.815034945372637,1
Zotu5511,Zotu1105,0.852616289012623,0.852616289012623,1
Zotu5511,Zotu989,0.813468211317817,0.813468211317817,1
Zotu5511,Zotu1242,0.838558118657731,0.838558118657731,1
Zotu5511,Zotu1114,0.829517667307194,0.829517667307194,1
Zotu5511,Zotu820,0.813638896709153,0.813638896709153,1
Zotu5511,Zotu229,0.805145602396373,0.805145602396373,1
Zotu5511,Zotu158,0.811532667714881,0.811532667714881,1
Zotu5511,Zotu352,0.818467208612289,0.818467208612289,1
Zotu5511,Zotu46,0.802527770563029,0.802527770563029,1
Zotu5511,Zotu19,0.800320472995551,0.800320472995551,1
Zotu3982,Zotu1381,0.873316889121429,0.873316889121429,1
Zotu3982,Zotu1110,0.812427057546609,0.812427057546609,1
Zotu3982,Zotu1676,0.803154321230276,0.803154321230276,1
Zotu3982,Zotu134,0.804084950887007,0.804084950887007,1
Zotu447,Zotu32,0.808233590904407,0.808233590904407,1
Zotu1073,Zotu517,0.812268284402124,0.812268284402124,1
Zotu2508,Zotu1269,0.800172806150764,0.800172806150764,1
Zotu2508,Zotu278,0.838274470266018,0.838274470266018,1
Zotu2508,Zotu229,0.801932502599007,0.801932502599007,1
Zotu2479,Zotu25,0.825499570325535,0.825499570325535,1
Zotu2062,Zotu2077,0.869062108826334,0.869062108826334,1
Zotu2062,Zotu1261,0.813922630582645,0.813922630582645,1
Zotu764,Zotu1006,0.803555972349304,0.803555972349304,1
Zotu764,Zotu138,0.870407356414144,0.870407356414144,1
Zotu764,Zotu577,0.840116273952386,0.840116273952386,1
Zotu764,Zotu85,0.856912325949399,0.856912325949399,1
Zotu2344,Zotu349,0.850582290084929,0.850582290084929,1
Zotu1650,Zotu4804,0.807306127243478,0.807306127243478,1
Zotu615,Zotu564,0.815654036413688,0.815654036413688,1
Zotu615,Zotu1256,0.800098209217282,0.800098209217282,1
Zotu615,Zotu279,0.807485758915705,0.807485758915705,1
Zotu615,Zotu289,0.804765999264944,0.804765999264944,1
Zotu876,Zotu522,0.807217674087823,0.807217674087823,1
Zotu1253,Zotu904,0.807033756121819,0.807033756121819,1
Zotu1619,Zotu1793,0.811059864939606,0.811059864939606,1
Zotu1619,Zotu126,0.806527494790724,0.806527494790724,1
Zotu88860,Zotu3728,0.837440273008714,0.837440273008714,1
Zotu88860,Zotu1889,0.809973331418449,0.809973331418449,1
Zotu88860,Zotu83112,0.808414519694238,0.808414519694238,1
Zotu88860,Zotu70163,0.813458881383091,0.813458881383091,1
Zotu88860,Zotu3049,0.815092056897649,0.815092056897649,1
Zotu88860,Zotu51254,0.839157676347725,0.839157676347725,1
Zotu88860,Zotu43215,0.846045151464465,0.846045151464465,1
Zotu88860,Zotu2204,0.822014071194261,0.822014071194261,1
Zotu88860,Zotu2519,0.851416510678558,0.851416510678558,1
Zotu88860,Zotu438,0.84122601244732,0.84122601244732,1
Zotu88860,Zotu816,0.828023631580282,0.828023631580282,1
Zotu88860,Zotu729,0.866987973542444,0.866987973542444,1
Zotu88860,Zotu503,0.831797129291174,0.831797129291174,1
Zotu88860,Zotu2,0.822718868604082,0.822718868604082,1
Zotu2589,Zotu907,0.807035628784002,0.807035628784002,1
Zotu4804,Zotu6091,0.842375892704909,0.842375892704909,1
Zotu4804,Zotu2151,0.849990366322229,0.849990366322229,1
Zotu4804,Zotu1606,0.805393733252471,0.805393733252471,1
Zotu4804,Zotu793,0.839448873719215,0.839448873719215,1
Zotu4804,Zotu898,0.804268804626878,0.804268804626878,1
Zotu4804,Zotu1110,0.818841172136244,0.818841172136244,1
Zotu4804,Zotu1754,0.851796313460587,0.851796313460587,1
Zotu4804,Zotu1564,0.818723379619693,0.818723379619693,1
Zotu4804,Zotu1676,0.820960499823466,0.820960499823466,1
Zotu4804,Zotu2176,0.805638617838097,0.805638617838097,1
Zotu4804,Zotu1114,0.848031048981598,0.848031048981598,1
Zotu4804,Zotu717,0.812445237177128,0.812445237177128,1
Zotu4804,Zotu820,0.848765319153837,0.848765319153837,1
Zotu4804,Zotu229,0.851717235334628,0.851717235334628,1
Zotu4804,Zotu40,0.802967415053605,0.802967415053605,1
Zotu4804,Zotu357,0.810657161789091,0.810657161789091,1
Zotu4804,Zotu144,0.850779928887512,0.850779928887512,1
Zotu4804,Zotu244,0.824079571049441,0.824079571049441,1
Zotu4804,Zotu60,0.800064321748287,0.800064321748287,1
Zotu1802,Zotu240,0.808159316070228,0.808159316070228,1
Zotu1802,Zotu27,0.822723776281267,0.822723776281267,1
Zotu1259,Zotu1240,0.815535167608359,0.815535167608359,1
Zotu2343,Zotu104,0.824425469515535,0.824425469515535,1
Zotu3263,Zotu2525,0.821431164771206,0.821431164771206,1
Zotu3263,Zotu1242,0.801293046044608,0.801293046044608,1
Zotu3263,Zotu512,0.834320697006505,0.834320697006505,1
Zotu3263,Zotu660,0.833690850783652,0.833690850783652,1
Zotu3263,Zotu158,0.847590118712901,0.847590118712901,1
Zotu3263,Zotu30,0.851840914982181,0.851840914982181,1
Zotu3263,Zotu46,0.821081658908061,0.821081658908061,1
Zotu3263,Zotu19,0.801693128872799,0.801693128872799,1
Zotu3263,Zotu22,0.824102229196693,0.824102229196693,1
Zotu1121,Zotu301,0.807447832362674,0.807447832362674,1
Zotu1060,Zotu413,0.833668698758826,0.833668698758826,1
Zotu2977,Zotu251,0.810250468077302,0.810250468077302,1
Zotu2061,Zotu1569,0.814927167567967,0.814927167567967,1
Zotu2061,Zotu314,0.81833935369712,0.81833935369712,1
