"","network_property"
"num.edges",6836
"num.vertices",742
"connectance",0.0248662294342533
"average.degree",18.4258760107817
"average.path.length",3.5907964171799
"diameter",9.87351815895999
"edge.connectivity",0
"clustering.coefficient",0.431293872307148
"no.clusters",25
"centralization.betweenness",0.0961445296083644
"centralization.degree",0.155970477718243
