"","network_property"
"num.edges",4062
"num.vertices",659
"connectance",0.0187352117743103
"average.degree",12.3277693474962
"average.path.length",5.38666148917581
"diameter",15.5113610421028
"edge.connectivity",0
"clustering.coefficient",0.474074986147879
"no.clusters",19
"centralization.betweenness",0.195602566212058
"centralization.degree",0.160596095216571
