"","network_property"
"num.edges",4249
"num.vertices",890
"connectance",0.0107405113686632
"average.degree",9.54831460674157
"average.path.length",5.24391489211863
"diameter",17.9872580814259
"edge.connectivity",0
"clustering.coefficient",0.38057576716229
"no.clusters",25
"centralization.betweenness",0.15139767813349
"centralization.degree",0.102870287281506
