"","x"
"1",0.0659263410542587
"2",0.066029861489332
"3",0.0661134448561465
"4",0.0662175875522951
"5",0.0663220547865772
"6",0.0664268480717975
"7",0.0665319689301557
"8",0.0665958797891379
"9",0.0667015959480283
"10",0.0668076441036092
"11",0.064153711432271
"12",0.0636629232600147
"13",0.0635649669603848
"14",0.0636667877105364
"15",0.0637689309172046
"16",0.0638713979473302
"17",0.063974190658069
"18",0.0640773104359615
"19",0.0641807588373628
"20",0.0624039067971981
"21",0.0625050439770719
"22",0.0626063434343223
"23",0.0627081297967545
"24",0.0628102432151327
"25",0.0629126852609204
"26",0.0619373749109234
"27",0.0620387582784997
"28",0.0621404695514571
"29",0.0622425103156102
"30",0.0623448821669915
"31",0.0624475867119311
"32",0.062550625567143
"33",0.0626540003598054
"34",0.0627577054235954
"35",0.0628617570031612
"36",0.0629661494653386
"37",0.0608826519455078
"38",0.0609841763235992
"39",0.0610860350663227
"40",0.059667056255899
"41",0.0596162704512459
"42",0.0597164041715912
"43",0.0582894558448556
"44",0.0583810443074257
"45",0.0584796541656797
"46",0.0585785927446385
"47",0.0581745831516011
"48",0.056721669106931
"49",0.0567454269983515
"50",0.0545106275525796
"51",0.0546038213350658
"52",0.0543732444100607
"53",0.0542490924006582
"54",0.0538193774356635
"55",0.0539117300044438
"56",0.0540047229271659
"57",0.0523232085699679
"58",0.0510105877153313
"59",0.0492139357067852
"60",0.0492996587829954
"61",0.0493856756518211
"62",0.0485877458478781
"63",0.0475056330448291
"64",0.0475890584031605
"65",0.0476727718090687
"66",0.0477567747474179
"67",0.0453977868305101
"68",0.0454781891957178
"69",0.0448383530791606
"70",0.0449180911455938
"71",0.0449981102965254
"72",0.0450784093670329
"73",0.0451589898184873
"74",0.0426545809611019
"75",0.0427311941919983
"76",0.0428081440881251
"77",0.0428853539241861
"78",0.0429628488138753
"79",0.0430372926978512
"80",0.0431153325728865
"81",0.043193650007902
"82",0.0426334678088654
"83",0.0401965280021015
"84",0.0402661230229409
"85",0.040340001068812
"86",0.0404141445547377
"87",0.0404885549023298
"88",0.0405632335448897
"89",0.0403091152775298
"90",0.0403837510286838
"91",0.0386598698878858
"92",0.0387318455729719
"93",0.0388040833585736
"94",0.0388765846673667
"95",0.038949350932368
"96",0.0390223835969292
"97",0.0390956841148289
"98",0.0391692539504277
"99",0.0369426664496819
"100",0.0364894767904194
"101",0.0365587469374292
"102",0.0366282720243451
