"","x"
"1",0.0483720102396411
"2",0.0484388781796212
"3",0.0482980319051224
"4",0.0476764631023112
"5",0.0452606715547133
"6",0.0452847042013409
"7",0.0453478144307365
"8",0.0454111110381316
"9",0.0454746102854838
"10",0.0455363631500559
"11",0.0445023928670134
"12",0.0424677348404244
"13",0.0425275715393695
"14",0.0425875615668647
"15",0.042014241911444
"16",0.0420699852150466
"17",0.0421296141483733
"18",0.0421892485364916
"19",0.0421806916616276
"20",0.0422098015733325
"21",0.042269962655243
"22",0.04087909654922
"23",0.0409375572308967
"24",0.0409962124318978
"25",0.0391629056992935
"26",0.0372620877604165
"27",0.0373158793699276
"28",0.0364721691831378
"29",0.0365250134968935
"30",0.0365780081291788
"31",0.0366311537181268
"32",0.0366844509020387
"33",0.0363505094046532
"34",0.0363064317781216
"35",0.0357988491320152
"36",0.0358512841781645
"37",0.0359038699240486
"38",0.0355121783299969
"39",0.0351438933534963
"40",0.0347214080509148
"41",0.0347726524693197
"42",0.0348216181308798
"43",0.0335305131838678
"44",0.0335803340708803
"45",0.0331452186407504
"46",0.0331946367483581
"47",0.0332415226553123
"48",0.0331567798688382
"49",0.0332064358680525
"50",0.032598205997977
"51",0.032647206321479
"52",0.0326963508224751
"53",0.0327456401318208
"54",0.0327950748744942
"55",0.0326331221408723
"56",0.0326825428913115
"57",0.032607925252808
"58",0.0324807772498175
"59",0.0325302008437351
"60",0.0325797715966234
"61",0.0326151562037011
"62",0.0326650022649169
"63",0.0326152797845646
"64",0.0326562567942873
"65",0.0315369812337669
"66",0.0315855457588719
"67",0.0314798347252809
"68",0.0315284646209056
"69",0.0313213751307622
"70",0.0313677229530679
"71",0.0314164122054494
"72",0.030036510439526
"73",0.0300406449733016
"74",0.0300847367524839
"75",0.0296587706968091
"76",0.0288187216994425
"77",0.0288640450544402
"78",0.0288939529169498
"79",0.0286952914239395
"80",0.0287406520851942
"81",0.0272553306230531
"82",0.0257811236538834
"83",0.0258223007071554
"84",0.0258636055645904
"85",0.0259050378112102
"86",0.025946599919953
"87",0.0258842081669635
"88",0.0259258499154837
"89",0.0259676438927463
"90",0.0257702382432844
"91",0.0258119289720608
"92",0.0258531803938374
"93",0.0258951304697643
"94",0.0259372152325816
"95",0.0244141660101347
"96",0.024454107161639
"97",0.0244941750346779
"98",0.0245339471637825
"99",0.0245740670939572
"100",0.024612772129701
"101",0.0246533470428944
"102",0.0246802684192628
"103",0.0247028769129867
"104",0.0247422874968693
"105",0.0247833345758973
"106",0.024824511926052
"107",0.0237011564241303
"108",0.023740774366669
"109",0.0237805207342273
"110",0.0238197842345798
"111",0.0235898279789767
"112",0.0235350751468416
"113",0.0233540838651455
"114",0.0233935515376034
"115",0.0234331482229498
"116",0.0234728745393855
"117",0.0235127310244155
"118",0.0235227743099119
"119",0.0235628455374722
"120",0.0236030487651366
"121",0.0236433847116458
"122",0.0236838539853954
"123",0.0237244572347936
"124",0.0237651951317661
"125",0.0238060683253233
"126",0.0238470775040418
"127",0.0238882219913579
"128",0.0226492854494002
"129",0.0226189699663717
"130",0.0226583286283048
"131",0.0226977453067308
"132",0.022737373808516
"133",0.02277713585249
"134",0.0228170321343143
"135",0.0228570632291116
"136",0.0228972299613421
"137",0.0224588170440908
"138",0.0224984690576115
"139",0.0225382561105224
"140",0.0225781788884401
"141",0.0226161765348593
"142",0.0226563693999435
"143",0.0226960870952724
"144",0.0227365552218689
"145",0.0227771625350017
"146",0.0228179097451692
"147",0.0228587975711987
"148",0.0228991063887602
"149",0.0228675617410606
"150",0.0229087524196808
"151",0.0229378252547582
"152",0.0229792822302532
"153",0.0230208810035016
"154",0.0230626277579374
"155",0.0231045163215654
"156",0.0231465069279946
"157",0.0231886938692659
"158",0.0232307626257551
"159",0.0232729717150614
"160",0.0221098263963745
"161",0.0221505478602369
"162",0.0212331006318128
"163",0.0212724666428242
"164",0.0213119728515343
"165",0.0213363971502415
"166",0.0206694090814702
"167",0.0194745079494421
"168",0.0195111948777054
"169",0.019224421104653
"170",0.0192404473442181
"171",0.0172747221585023
"172",0.0173073875505201
"173",0.0161944916157859
"174",0.0160016006218605
"175",0.0160318642618177
"176",0.0160630621573292
"177",0.0145152503575944
"178",0.0145437589804796
"179",0.0139222883765545
"180",0.0139499919722863
"181",0.013977773624759
"182",0.0138201335220174
"183",0.0138478167493256
"184",0.013873828943337
"185",0.0139017242797935
"186",0.0119125602070044
"187",0.0119370096130157
"188",0.0102363473240313
"189",0.0102578253219873
"190",0.0102575659053789
"191",0.0101075660738204
"192",0.0101288236144905
"193",0.0101502995935793
"194",0.0101719056775584
"195",0.0101936215116668
"196",0.0102124268355838
"197",0.0102342858678979
"198",0.0102493012957063
"199",0.0102713410573967
"200",0.0102934402082771
"201",0.0102669763759754
"202",0.01028915043787
"203",0.0103113622170124
"204",0.0103104117225494
"205",0.0102661706853386
"206",0.0102885456076787
"207",0.0103108711587376
"208",0.0097056545452432
"209",0.00972714040917498
"210",0.00974868048531864
"211",0.00977031587399382
"212",0.009778782129954
"213",0.00972787967733466
"214",0.00974958062984117
"215",0.00977137969772991
"216",0.00859772750653912
"217",0.00843292019016461
"218",0.00844775958830915
"219",0.00846728335773296
"220",0.00848618486909833
"221",0.00850581646032096
"222",0.00852552124502212
"223",0.00854530821061905
"224",0.00856509807056885
"225",0.00858503140276623
"226",0.00860507626990578
"227",0.00862504333229334
"228",0.00864531077672169
"229",0.00865111500069515
"230",0.00867146215921224
"231",0.00869195846704586
"232",0.00871254171375347
"233",0.00873315754000945
"234",0.00875382807902162
"235",0.00877467508814729
"236",0.00879555597475377
"237",0.00881632520617521
"238",0.00883744057410626
"239",0.00885864672105858
"240",0.0088799442142075
"241",0.00890133362538815
"242",0.008922815531143
"243",0.00894439051276992
"244",0.00896605915637088
"245",0.00898782205290122
"246",0.00900967979821952
"247",0.00814813686567516
"248",0.00814757039483542
"249",0.00815921499275284
"250",0.00755622028267028
"251",0.00753841536540879
"252",0.00746973937421784
"253",0.00735884489714767
"254",0.00675383769760924
"255",0.00677137088005947
"256",0.00547642224655789
"257",0.00539313699369513
"258",0.00513900435036165
"259",0.00511845885359847
"260",0.00513143368744058
"261",0.00509758356643248
"262",0.00467198553849098
"263",0.00468376192477254
"264",0.0046968185197475
"265",0.00471042379900294
"266",0.0047218284953633
"267",0.00473301637685062
"268",0.00467208717124392
"269",0.00465997333348776
"270",0.00467305610860794
"271",0.00468681309275136
"272",0.00469729620419949
"273",0.00469025454192171
"274",0.00470121870443067
"275",0.0042771355047282
"276",0.00429012410953043
"277",0.00430241221578585
"278",0.00431456558431422
"279",0.00432350973183935
"280",0.00401581124494494
"281",0.00402755553722452
"282",0.00403697700611831
"283",0.0040496080510285
"284",0.00406230342645851
"285",0.00406640900765625
"286",0.00393755246326066
"287",0.0038770220870169
"288",0.0038885440784646
"289",0.00389895090859865
"290",0.0039105885745599
"291",0.00391080825279305
"292",0.00392134083371157
"293",0.00374221178445641
"294",0.00375003503480943
"295",0.00372894735088298
"296",0.00334789843129238
"297",0.00333390142422603
"298",0.00313194159607312
"299",0.0031374360354063
"300",0.00313289540457953
"301",0.00314235103012529
"302",0.00315320937941751
"303",0.0025997529043487
"304",0.00260531143847838
"305",0.00223786472592324
"306",0.00224165065829126
"307",0.00224788973306904
"308",0.00225090568477386
"309",0.00225684072846132
"310",0.00224532527319727
"311",0.00225161034080579
"312",0.00222907033738286
"313",0.00223274565702847
"314",0.00222460865706961
"315",0.00206870496874411
"316",0.002074281993158
"317",0.00207988827802821
"318",0.0020789585134143
"319",0.00199497924221405
"320",0.0019998237533268
"321",0.0020051233216657
"322",0.00199497902885718
"323",0.00199932142294768
"324",0.00200722812417752
"325",0.00193248917626105
"326",0.00192078492413729
"327",0.00192100037290262
"328",0.00186369396287705
"329",0.00136039878844713
"330",0.00136261211976612
"331",0.00136483058517236
"332",0.00137062093002309
"333",0.00136803631011371
"334",0.00136965195041292
"335",0.00137188100621051
"336",0.00136111063559282
"337",0.00124672660538855
"338",0.00122233900360089
"339",0.00122373656444684
"340",0.00122910210063023
"341",0.00123450335617767
"342",0.00123593915015046
"343",0.00123656514824561
"344",0.00123799247002878
"345",0.00123941764772776
"346",0.00121080139450588
"347",0.00121205129100486
"348",0.00121329728862343
"349",0.0012000304051744
"350",0.00118954689364026
"351",0.00119062872787378
"352",0.0011798903411222
"353",0.0011852697260114
"354",0.00116683419545606
"355",0.00116773329736796
"356",0.00116337288705649
"357",0.00116874340346287
"358",0.00116961431312225
"359",0.00117504126870542
"360",0.00118050640155731
"361",0.00116885371262136
"362",0.00117432350630252
"363",0.00116968387003697
"364",0.00117518830815765
"365",0.00118073201253289
"366",0.00118631536030706
"367",0.00119193873319366
"368",0.00118719407912319
"369",0.000886189655934512
